Date,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Holiday_Events
2010-02-12,1,164195744,1,38.51,2.548,211.242176,8.106,1
2010-02-19,1,161196816,0,39.93,2.514,211.2891392,8.106,0
2010-02-26,1,140972752,0,46.63,2.561,211.3196416,8.106,0
2010-03-05,1,155480672,0,46.5,2.625,211.350144,8.106,0
2010-03-12,1,143954160,0,57.79,2.667,211.3806464,8.106,0
2010-03-19,1,147251584,0,54.58,2.72,211.215632,8.106,0
2010-03-26,1,140442992,0,51.45,2.732,211.018048,8.106,0
2010-04-02,1,159496832,0,62.27,2.719,210.8204544,7.808,0
2010-04-09,1,154541856,0,65.86,2.77,210.6228608,7.808,0
2010-04-16,1,146605824,0,66.32,2.808,210.4887,7.808,0
2010-04-23,1,139125616,0,64.84,2.795,210.4391168,7.808,0
2010-04-30,1,142510064,0,67.41,2.78,210.3895424,7.808,0
2010-05-07,1,160395520,0,72.54999999999998,2.835,210.339968,7.808,0
2010-05-21,1,139966208,0,76.44,2.826,210.617088,7.808,0
2010-05-28,1,143206992,0,80.44,2.759,210.8967552,7.808,0
2010-06-04,1,161552464,0,80.69,2.705,211.1764224,7.808,0
2010-06-11,1,154256112,0,80.43,2.668,211.4560896,7.808,0
2010-06-18,1,150328400,0,84.11,2.637,211.4537728,7.808,0
2010-07-02,1,149241808,0,80.90999999999998,2.669,211.2235392,7.787,0
2010-07-09,1,154607424,0,80.48,2.642,211.108416,7.787,0
2010-07-16,1,144893888,0,83.15,2.623,211.1003904,7.787,0
2010-08-06,1,160549184,0,87.15999999999998,2.627,211.5046656,7.787,0
2010-08-13,1,150823776,0,87.0,2.692,211.639424,7.787,0
2010-08-20,1,151308048,0,86.65,2.664,211.6033664,7.787,0
2010-08-27,1,144914288,0,85.22,2.619,211.5673088,7.787,0
2010-09-03,1,154016352,0,81.20999999999998,2.577,211.5312512,7.787,0
2010-09-10,1,150746064,1,78.69,2.565,211.4951936,7.787,1
2010-09-17,1,143037872,0,82.11,2.582,211.5224576,7.787,0
2010-09-24,1,135179104,0,80.94,2.624,211.5972224,7.787,0
2010-10-08,1,150824000,0,63.93,2.633,211.746752,7.838,0
2010-10-29,1,138420928,0,69.64,2.716,211.9088384,7.838,0
2010-11-05,1,155165920,0,58.74,2.689,211.9563904,7.838,0
2010-11-12,1,149447952,0,59.61,2.728,212.003936,7.838,0
2010-11-19,1,148378416,0,51.41,2.771,211.8896768,7.838,0
2010-11-26,1,195562416,1,64.52,2.735,211.7484288,7.838,1
2010-12-03,1,154803376,0,49.27,2.708,211.6072,7.838,0
2010-12-10,1,168261424,0,46.33,2.843,211.4659584,7.838,0
2010-12-17,1,189103488,0,49.84,2.869,211.405312,7.838,0
2010-12-31,1,136732000,1,48.43,2.943,211.404928,7.838,1
2011-01-07,1,144473232,0,48.27,2.976,211.404736,7.742,0
2011-01-14,1,139101392,0,35.4,2.983,211.457408,7.742,0
2011-01-21,1,132740544,0,44.04,3.016,211.8272384,7.742,0
2011-01-28,1,131689928,0,43.83,3.01,212.197056,7.742,0
2011-02-04,1,160662960,0,42.27,2.989,212.5668864,7.742,0
2011-02-11,1,164961488,1,36.39,3.022,212.936704,7.742,1
2011-02-18,1,168684272,0,57.36,3.045,213.2478848,7.742,0
2011-02-25,1,145680032,0,62.9,3.065,213.535616,7.742,0
2011-03-04,1,163626336,0,59.58,3.288,213.8233344,7.742,0
2011-03-11,1,155319168,0,53.56,3.459,214.1110528,7.742,0
2011-03-18,1,157681808,0,62.76,3.488,214.3627136,7.742,0
2011-03-25,1,154110240,0,69.97,3.473,214.599936,7.742,0
2011-04-01,1,149506480,0,59.17,3.524,214.8371712,7.682,0
2011-04-08,1,161425936,0,67.84,3.622,215.0744064,7.682,0
2011-04-22,1,156481984,0,72.98999999999998,3.807,215.4599168,7.682,0
2011-04-29,1,145509072,0,72.03,3.81,215.6279552,7.682,0
2011-05-06,1,162939136,0,64.61,3.906,215.7959936,7.682,0
2011-05-13,1,160477552,0,75.64,3.899,215.9640576,7.682,0
2011-05-20,1,142821824,0,67.63,3.907,215.7339136,7.682,0
2011-05-27,1,146604672,0,77.72,3.786,215.5037952,7.682,0
2011-06-03,1,163507840,0,83.0,3.699,215.2736512,7.682,0
2011-06-10,1,158894832,0,83.12999999999998,3.648,215.0435328,7.682,0
2011-06-17,1,153211488,0,86.40999999999998,3.637,214.9980672,7.682,0
2011-06-24,1,143883008,0,83.58,3.594,215.0910976,7.682,0
2011-07-01,1,148853808,0,85.54999999999998,3.524,215.184128,7.961999999999998,0
2011-07-08,1,153484960,0,85.83,3.48,215.277184,7.961999999999998,0
2011-07-15,1,145512000,0,88.54,3.575,215.3611008,7.961999999999998,0
2011-07-22,1,139692688,0,85.76999999999998,3.651,215.4222848,7.961999999999998,0
2011-07-29,1,135221984,0,86.83,3.682,215.4834432,7.961999999999998,0
2011-08-05,1,162438368,0,91.65,3.684,215.544624,7.961999999999998,0
2011-08-12,1,152514704,0,90.76,3.638,215.6057856,7.961999999999998,0
2011-08-19,1,153076144,0,89.94,3.554,215.6692992,7.961999999999998,0
2011-08-26,1,146469344,0,87.95999999999998,3.523,215.7332224,7.961999999999998,0
2011-09-02,1,155022928,0,87.83,3.533,215.7971456,7.961999999999998,0
2011-09-09,1,154047120,1,76.0,3.546,215.861056,7.961999999999998,1
2011-09-16,1,151425984,0,79.94,3.526,216.0410624,7.961999999999998,0
2011-09-23,1,138002032,0,75.79999999999998,3.467,216.3758336,7.961999999999998,0
2011-09-30,1,139456176,0,79.69,3.355,216.7106048,7.961999999999998,0
2011-10-07,1,163098992,0,69.31,3.285,217.045376,7.865999999999999,0
2011-10-14,1,149352592,0,71.74,3.274,217.355264,7.865999999999999,0
2011-10-21,1,150256272,0,63.71,3.353,217.5159808,7.865999999999999,0
2011-10-28,1,144524912,0,66.57,3.372,217.676672,7.865999999999999,0
2011-11-04,1,169722960,0,54.98,3.332,217.837376,7.865999999999999,0
2011-11-11,1,159493888,0,59.11,3.297,217.99808,7.865999999999999,0
2011-11-25,1,203332064,1,60.14,3.236,218.4676096,7.865999999999999,1
2011-12-02,1,158408400,0,48.91,3.172,218.7147264,7.865999999999999,0
2011-12-09,1,179968240,0,43.93,3.158,218.9618432,7.865999999999999,0
2011-12-16,1,188117664,0,51.63,3.159,219.1794432,7.865999999999999,0
2011-12-23,1,227018896,0,47.96,3.112,219.3577216,7.865999999999999,0
2011-12-30,1,149746272,1,44.55,3.129,219.536,7.865999999999999,1
2012-01-06,1,155036992,0,49.01,3.157,219.7142528,7.348,0
2012-01-13,1,145960112,0,48.53,3.261,219.8925312,7.348,0
2012-01-20,1,139439392,0,54.11,3.268,219.9856896,7.348,0
2012-01-27,1,131932560,0,54.26,3.29,220.078848,7.348,0
2012-02-03,1,163633968,0,56.55,3.36,220.1720064,7.348,0
2012-02-10,1,180247744,1,48.02,3.409,220.2651904,7.348,1
2012-02-24,1,153938784,0,57.25,3.555,220.636896,7.348,0
2012-03-02,1,168842080,0,60.96,3.63,220.8480512,7.348,0
2012-03-09,1,167543120,0,58.76,3.669,221.0592,7.348,0
2012-03-16,1,167747280,0,64.74,3.734,221.2118016,7.348,0
2012-03-23,1,151106800,0,65.93,3.787,221.2864,7.348,0
2012-03-30,1,164960464,0,67.61,3.845,221.361024,7.348,0
2012-04-06,1,189967680,0,70.43,3.891,221.4356224,7.143,0
2012-04-20,1,152157792,0,66.76,3.877,221.5640832,7.143,0
2012-04-27,1,146892832,0,67.23,3.814,221.6179456,7.143,0
2012-05-04,1,168452000,0,75.54999999999998,3.749,221.6718,7.143,0
2012-05-11,1,161109600,0,73.76999999999998,3.688,221.7256704,7.143,0
2012-05-18,1,159590192,0,70.33,3.63,221.742672,7.143,0
2012-05-25,1,155544448,0,77.22,3.561,221.744944,7.143,0
2012-06-01,1,162447760,0,77.95,3.501,221.7472256,7.143,0
2012-06-08,1,169723104,0,78.29999999999998,3.452,221.7494784,7.143,0
2012-06-22,1,152784576,0,78.39,3.346,221.8030336,7.143,0
2012-06-29,1,154042144,0,84.87999999999998,3.286,221.8434,7.143,0
2012-07-06,1,176985408,0,81.56999999999998,3.227,221.883776,6.908,0
2012-07-13,1,152701408,0,77.12,3.256,221.9241472,6.908,0
2012-07-20,1,149795472,0,80.42,3.311,221.9327232,6.908,0
2012-07-27,1,143912368,0,82.65999999999998,3.407,221.9412992,6.908,0
2012-08-03,1,163113584,0,86.11,3.417,221.9498752,6.908,0
2012-08-10,1,159240992,0,85.04999999999998,3.494,221.9584256,6.908,0
2012-08-17,1,159786800,0,84.84999999999998,3.571,222.0384,6.908,0
2012-08-24,1,149412240,0,77.65999999999998,3.62,222.1719552,6.908,0
2012-09-07,1,166176736,1,83.95999999999998,3.73,222.4390144,6.908,1
2012-09-14,1,151742880,0,74.97,3.717,222.582016,6.908,0
2012-09-21,1,150612608,0,69.87,3.721,222.7818496,6.908,0
2012-09-28,1,143705920,0,76.08,3.666,222.9816576,6.908,0
2012-10-05,1,167078592,0,68.55,3.617,223.1814656,6.573,0
2012-10-12,1,157307280,0,62.99,3.601,223.3812992,6.573,0
2012-10-19,1,150806880,0,67.97,3.594,223.4257152,6.573,0
2012-10-26,1,149365968,0,69.16,3.506,223.4442496,6.573,0
2010-02-05,2,213698944,0,40.19,2.572,210.7526016,8.324,0
2010-02-19,2,212445152,0,39.69,2.514,210.9451648,8.324,0
2010-02-26,2,186509728,0,46.1,2.561,210.9759616,8.324,0
2010-03-05,2,199101312,0,47.17,2.625,211.0067584,8.324,0
